"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Avg Trade Volume","Delta Return"
"a","18.00","22.27","68.00","none","1.70M","1.26M","-52.4%","-36.2%","10.3B","460.6M","368.5M","none","none","none","11.91","0.76","-0.47","21.87","2.17","1.87","29.23","1.02","10.1B","1.01B","355.0M","3.5%","3.3%","Oct 31","none","4.12%","6.62%","1.66","0.14","999.0M","5.55M","1.5%","6.61M","3.03","1.83M","22.90","27.27","19.08","5.11","40670872.50","13.98"
"aa","25.875","32.27","45.71","1.17","3.42M","2.83M","+11.0%","+48.9%","27.4B","849.3M","738.9M","0.60","1.86%","none","12.67","1.65","0.39","28.05","0.57","2.55","19.52","1.15","24.4B","4.25B","1.44B","7.1%","10.4%","Dec 31","none","5.76%","13.07%","1.50","0.59","484.0M","9.96M","1.3%","9.51M","3.30","3.02M","","38.60","0.00","5.11","0.00","-5.11"
"aaab","8.00","19.50","23.05","0.26","6,273","6,000","+140.0%","+221.9%","98.1M","5.03M","2.80M","none","none","none","8.39","0.22","0.09","none","2.66","2.32","89.45","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","18.85","19.15","1.59","5.11","62505.00","-3.51"
"aabc","5.969","7.75","9.40","0.32","3,136","1,000","+21.6%","+63.0%","9.83M","1.27M","600.0K","none","none","none","10.01","0.45","0.13","9.14","5.06","0.78","17.15","0.85","11.8M","none","587.0K","5.0%","41.6%","Dec 31","none","0.36%","4.85%","none","none","6.42M","0","none","0","none","6,000","7.75","7.60","-1.94","5.11","0.00","-7.04"
"aac","0.95","1.20","4.50","0.38","35.5K","45.0K","-70.0%","-59.8%","25.2M","21.0M","8.80M","none","none","none","0.15","-0.45","-0.02","0.56","0.05","8.19","none","2.14","11.7M","-4.77M","-9.49M","-80.8%","-50.4%","Dec 31","none","-101.64%","-140.61%","1.21","0.34","1.03M","0","none","0","none","2,000","1.20","1.00","-16.67","5.11","34250.00","-21.77"
"aacb","8.51","9.00","15.688","0.65","116.7K","12.0K","-37.1%","-15.7%","310.1M","34.5M","30.3M","none","none","none","12.19","0.73","0.11","16.48","0.02","0.74","12.26","0.55","547.2M","87.9M","23.9M","4.4%","12.9%","Mar 31","none","2.08%","6.30%","none","1.09","755.0K","146.0K","0.5%","132.0K","1.50","97.0K","8.941","9.55","6.81","5.11","796804.45","1.71"
"aace","7.25","9.35","14.00","0.63","17.5K","13.0K","-27.7%","-3.1%","94.1M","10.1M","4.50M","none","none","none","5.56","0.11","0.20","20.52","13.08","1.68","82.02","0.46","208.4M","26.5M","1.21M","0.6%","1.0%","June 30","none","0.44%","2.19%","1.00","0.25","131.6M","3,000","0.1%","12.0K","0.09","35.0K","9.44","9.09","-3.71","5.11","75919.00","-8.81"
"aacs.ob","0.17","0.19","1.50","0.01","25.0K","32.0K","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","0.19","0.19","0.00","5.11","0.00","-5.11"
"aai","2.60","3.78","12.25","1.11","667.4K","359.0K","-20.4%","+6.7%","257.6M","68.1M","53.8M","none","none","none","0.80","0.35","-0.15","9.71","1.68","4.75","10.86","0.39","699.6M","107.2M","25.1M","3.6%","11.0%","Dec 31","none","none","none","none","none","none","none","none","none","none","none","3.90","6.24","60.00","5.11","1322958.00","54.89"
"aaii","6.50","19.99","23.22","1.02","25.3K","23.0K","+138.7%","+220.1%","358.4M","17.9M","4.30M","none","none","none","3.80","-0.00","0.06","6.26","0.11","5.26","none","3.19","111.3M","9.77M","-36.0K","0%","2.3%","Dec 31","none","-0.03%","-0.05%","1.44","0.23","1.99M","81.0K","1.9%","60.0K","5.40","15.0K","20.50","20.25","-1.22","5.11","1334562.50","-6.33"
"aala","0.25","0.60","2.00","-1.55","1,500","1,000","-20.0%","+7.3%","7.27M","12.1M","5.10M","none","none","none","0.13","-0.23","-0.06","none","0.01","4.59","none","none","0","-1.54M","-2.42M","none","none","June 30","none","-19.08%","-97.57%","0.04","6.18","143.0K","0","none","0","none","0","","0.70","0.00","5.11","0.00","-5.11"
"aam","0.45","0.52","2.22","1.02","11.7K","21.0K","-71.3%","-61.5%","3.26M","6.27M","5.50M","none","none","none","7.31","-7.14","-0.50","30.19","4.40","0.07","none","0.02","188.7M","-8.48M","-44.4M","-16.2%","-15.2%","June 30","none","-4.33%","-64.90%","none","14.45","27.6M","326.0K","5.9%","410.0K","32.60","10.0K","0.52","","0.00","5.11","0.00","-5.11"
"aamc.ob","0.30","0.70","0.70","0.42","591","0","+1.9%","+36.6%","922.0K","1.32M","800.0K","none","none","none","0.47","-0.28","-0.06","1.72","0.30","1.49","none","0.41","2.27M","-102.0K","-367.0K","-16.2%","-16.1%","Dec 31","none","-7.66%","-45.06%","1.09","7.41","394.0K","none","none","none","none","none","0.70","0.40","-42.86","5.11","0.00","-47.96"
"aame","0.75","1.30","2.438","0.34","12.4K","10.0K","-46.7%","-28.5%","27.6M","21.2M","5.70M","none","none","none","4.13","0.10","0.01","7.57","1.09","0.32","13.13","0.17","159.8M","none","2.08M","2.1%","2.9%","Dec 31","none","0.90%","2.55%","none","0.51","23.1M","1,000","0.0%","1,000","0.14","7,000","1.38","1.80","30.43","5.11","2082.00","25.33"
"aanb","8.125","13.50","15.10","0.39","3,682","3,000","+56.5%","+109.9%","29.4M","2.18M","1.40M","0.48","3.56%","none","8.51","1.31","0.33","6.04","5.01","1.59","10.27","2.23","13.0M","none","2.84M","21.8%","none","Dec 31","none","1.75%","16.30%","none","none","none","none","none","none","none","none","13.60","14.96","10.00","5.11","38692.00","4.89"
"aaon","10.333","16.90","22.56","0.85","33.8K","33.0K","+14.9%","+54.1%","146.5M","8.67M","6.20M","none","none","none","5.11","1.53","0.38","17.83","0.00","3.31","11.07","0.95","162.9M","26.5M","13.9M","8.6%","14.1%","Dec 31","none","none","none","none","none","none","none","none","none","none","none","17.20","21.10","22.67","5.11","228590.00","17.57"
"aaph.ob","0.11","0.15","2.80","2.78","41.1K","41.0K","-90.6%","-87.4%","747.0K","4.98M","4.60M","none","none","none","-0.03","-0.47","-0.03","none","none","none","none","none","0","-339.0K","-667.0K","none","none","Dec 31","none","-889.33%","none","0.02","none","none","none","none","none","none","none","0.15","0.30","100.00","5.11","375.00","94.89"
"aapl","13.625","17.56","27.12","1.31","4.99M","6.34M","-14.3%","+14.9%","6.16B","350.9M","312.3M","none","none","none","11.17","-0.14","0.18","15.26","12.36","1.57","none","1.15","5.36B","-344.0M","-37.0M","-0.7%","-6.4%","Sep 29","none","none","none","none","none","none","none","none","none","none","none","18.59","21.30","14.58","5.11","108497317.00","9.47"
"aasi.ob","0.16","0.22","1.563","0.79","454.8K","372.0K","-85.3%","-80.3%","9.02M","41.0M","29.3M","none","none","none","-0.22","-1.33","-0.20","0.01","0.01","none","none","46.59","68.0K","-11.6M","-17.3M","none","none","Dec 31","none","-107.67%","none","0.14","none","324.0K","62.0K","0.2%","0","0.31","202.0K","0.22","0.29","31.82","5.11","94486.00","26.71"
"aasp.ob","0.03","0.09","1.25","0.86","2,364","3,000","-91.1%","-88.1%","284.0K","3.15M","700.0K","none","none","none","-2.75","-0.06","-0.03","0.79","0.10","none","none","0.11","2.49M","274.0K","-187.0K","-7.3%","7.3%","Dec 31","none","-2.44%","none","0.64","none","299.0K","1,000","0.1%","0","0.08","13.0K","0.09","0.025","-72.22","5.11","0.00","-77.33"
"aasr.ob","0.66","0.66","2.188","1.88","2,000","3,000","-56.0%","-41.0%","4.29M","6.50M","1.60M","none","none","none","0.46","-3.39","-0.23","24.10","0.14","1.43","none","0.03","156.7M","none","-22.0M","-12.3%","-8.0%","Dec 31","none","-11.51%","-207.93%","none","6.70","942.0K","427.0K","8.9%","437.0K","18.57","23.0K","0.62","0.78","25.81","5.11","7671.00","20.70"
"aatk","0.50","1.55","5.48","-1.39","512.0K","324.0K","-55.7%","-40.6%","7.02M","4.53M","3.40M","none","none","none","1.02","-0.51","-0.14","0.98","0.05","1.52","none","1.58","4.55M","-1.35M","-2.33M","-50.8%","-34.4%","Dec 31","none","-38.09%","-42.36%","4.15","0.05","218.0K","1,000","0.0%","1,000","0.25","4,000","","0.95","0.00","5.11","0.00","-5.11"
"aauk","9.46","12.92","18.25","0.98","158.5K","98.0K","-6.5%","+25.4%","30.3B","2.34B","1.62B","none","none","none","9.80","2.21","1.74","10.08","0.59","1.32","5.84","1.28","15.8B","4.32B","3.43B","27.0%","20.9%","Dec 31","none","14.29%","21.62%","1.45","0.17","964.0M","286.0K","0.0%","333.0K","1.67","171.0K","","14.95","0.00","5.11","0.00","-5.11"
"ab","0.75","1.12","2.05","0.99","636","0","-14.7%","+14.4%","3.59M","3.21M","600.0K","none","none","none","3.59","-2.28","-1.31","26.77","1.76","0.31","none","0.04","85.8M","4.44M","-7.30M","-8.5%","-4.8%","June 30","none","-8.25%","-45.52%","0.74","4.76","5.64M","0","none","0","none","0","1.12","0.97","-13.39","5.11","0.00","-18.50"
"abacq.ob","0.00","0.001","0.025","0.84","89.9K","168.0K","-66.7%","-55.3%","121.0K","121.0M","72.6M","none","none","none","0.39","-0.08","-0.01","0.01","0.02","0.00","none","0.22","533.0K","-3.34M","-9.37M","none","none","Dec 31","none","-9.13%","-19.40%","0.04","0.65","1.92M","0","none","6,000","none","184.0K","","","0.00","5.11","0.00","-5.11"
"abax","2.313","3.80","7.25","0.34","17.0K","24.0K","-38.6%","-17.6%","61.7M","16.2M","15.9M","none","none","none","0.79","-0.15","-0.01","2.40","0.18","4.80","none","1.58","29.3M","1.51M","-2.24M","-1.7%","-0.2%","Mar 31","none","none","none","none","none","none","none","none","none","none","none","3.75","4.48","19.47","5.11","99217.50","14.36"
"abb","6.10","8.40","18.95","none","32.5K","54.0K","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","8.98","10.60","18.04","5.11","90561.00","12.93"
"abbk","8.75","14.00","17.00","0.86","3,636","6,000","+49.3%","+100.3%","43.6M","3.11M","1.80M","0.40","2.86%","none","13.43","1.51","0.38","15.74","none","1.04","9.30","0.89","50.7M","none","4.85M","9.6%","41.7%","Dec 31","none","0.64%","13.40%","none","none","none","5,000","0.3%","7,000","1.00","5,000","14","15.30","9.29","5.11","4200.00","4.18"
"abc","62.25","63.56","72.00","none","none","1.37M","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","63.00","59.50","-5.56","5.11","120678600.00","-10.66"
"abcb","8.00","12.75","13.50","0.30","8,864","4,000","+36.0%","+82.4%","127.5M","10.00M","8.90M","0.48","3.77%","none","10.49","1.14","0.27","8.42","8.09","1.22","11.19","1.51","74.3M","none","10.0M","13.5%","none","Dec 31","none","1.12%","11.50%","none","none","none","none","none","none","none","none","12.75","13.25","3.92","5.11","17887.50","-1.18"
